year;month;yearfrac;ssn
2019;12;2019.958;   1.5
2020;1;2020.042;   6.2
2020;2;2020.124;   0.2
2020;3;2020.206;   1.5
2020;4;2020.288;   5.2
2020;5;2020.373;   0.2
2020;6;2020.455;   5.8
2020;7;2020.540;   6.1
2020;8;2020.624;   7.5
2020;9;2020.706;   0.6
2020;10;2020.791;  14.6
2020;11;2020.873;  34.5
2020;12;2020.958;  23.1
2021;1;2021.042;  10.4
2021;2;2021.122;   8.2
2021;3;2021.204;  17.2
2021;4;2021.286;  24.5
2021;5;2021.371;  21.2
2021;6;2021.453;  25.0
2021;7;2021.538;  34.3
2021;8;2021.623;  22.0
2021;9;2021.705;  51.3
2021;10;2021.790;  37.4
2021;11;2021.873;  34.8
2021;12;2021.958;  67.5
2022;1;2022.042;  55.3
2022;2;2022.122;  60.9
2022;3;2022.204;  78.6
2022;4;2022.286;  84.0
2022;5;2022.371;  96.5
2022;6;2022.453;  70.3
2022;7;2022.538;  91.4
2022;8;2022.623;  74.6
2022;9;2022.705;  96.0
2022;10;2022.790;  95.5
2022;11;2022.873;  80.5
2022;12;2022.958; 112.8
2023;1;2023.042; 144.4
2023;2;2023.122; 111.3
2023;3;2023.204; 123.3
2023;4;2023.286;  97.6
2023;5;2023.371; 137.4
2023;6;2023.453; 160.5
2023;7;2023.538; 160.0
2023;8;2023.623; 114.8
2023;9;2023.705; 134.2
2023;10;2023.790;  99.4
2023;11;2023.873; 105.4
2023;12;2023.958; 114.2
2024;1;2024.042; 123.0
